date;bang;thai
1983;0.0201;0.0090
1.983.083.333;0.0092;0.0079
1.983.166.667;0.0155;0.0109
1983.25;0.0178;0.0119
1.983.333.333;0.0187;0.0227
1.983.416.667;0.0288;0.0557
1983.5;0.0541;0.1302
1.983.583.333;0.0905;0.1754
1.983.666.667;0.1294;0.1478
1983.75;0.1537;0.0760
1.983.833.333;0.0933;0.0334
1.983.916.667;0.0391;0.0113
1984;0.0214;0.0092
1.984.083.333;0.0155;0.0088
1.984.166.667;0.0167;0.0134
1984.25;0.0174;0.0250
1.984.333.333;0.0331;0.0549
1.984.416.667;0.0518;0.1609
1984.5;0.0792;0.3006
1.984.583.333;0.1074;0.2579
1.984.666.667;0.1114;0.2012
1984.75;0.1155;0.1550
1.984.833.333;0.1136;0.0886
1.984.916.667;0.0869;0.0429
1985;0.0631;0.0337
1.985.083.333;0.0560;0.0320
1.985.166.667;0.0520;0.0555
1985.25;0.0396;0.0746
1.985.333.333;0.0525;0.2044
1.985.416.667;0.0585;0.4525
1985.5;0.0632;0.3323
1.985.583.333;0.0773;0.1639
1.985.666.667;0.0680;0.0887
1985.75;0.0601;0.0546
1.985.833.333;0.0500;0.0394
1.985.916.667;0.0210;0.0177
1986;0.0158;0.0088
1.986.083.333;0.0142;0.0074
1.986.166.667;0.0024;0.0079
1986.25;0.0010;0.0143
1.986.333.333;0.0048;0.0459
1.986.416.667;0.0112;0.0728
1986.5;0.0390;0.0489
1.986.583.333;0.0518;0.0658
1.986.666.667;0.0683;0.0742
1986.75;0.0966;0.0789
1.986.833.333;0.1397;0.0564
1.986.916.667;0.1361;0.0314
1987;0.1457;0.0356
1.987.083.333;0.1242;0.0345
1.987.166.667;0.1837;0.0836
1987.25;0.1534;0.1367
1.987.333.333;0.1788;0.3380
1.987.416.667;0.2234;0.6747
1987.5;0.1911;0.7181
1.987.583.333;0.0102;0.4040
1.987.666.667;0.0035;0.2590
1987.75;0.0025;0.1346
1.987.833.333;0.0002;0.0158
1.987.916.667;0;0.0000
1988;0.0435;0.0148
1.988.083.333;0.0386;0.0141
1.988.166.667;0.0396;0.0177
1988.25;0.0200;0.0181
1.988.333.333;0.0164;0.0466
1.988.416.667;0.0339;0.0756
1988.5;0.0811;0.0715
1.988.583.333;0.0546;0.0619
1.988.666.667;0.0384;0.0482
1988.75;0.0391;0.0340
1.988.833.333;0.0342;0.0167
1.988.916.667;0.0262;0.0099
1989;0.0267;0.0109
1.989.083.333;0.0289;0.0109
1.989.166.667;0.0395;0.0188
1989.25;0.0524;0.0342
1.989.333.333;0.0563;0.0668
1.989.416.667;0.0701;0.1792
1989.5;0.1064;0.2462
1.989.583.333;0.1873;0.2259
1.989.666.667;0.1949;0.1695
1989.75;0.1820;0.1257
1.989.833.333;0.2115;0.0853
1.989.916.667;0.1411;0.0428
1990;0.0939;0.0352
1.990.083.333;0.0849;0.0398
1.990.166.667;0.0713;0.0741
1990.25;0.0518;0.1027
1.990.333.333;0.0403;0.1926
1.990.416.667;0.0518;0.4588
1990.5;0.0730;0.4664
1.990.583.333;0.0937;0.2742
1.990.666.667;0.0408;0.1027
1990.75;0.0120;0.0168
1.990.833.333;0.0151;0.0111
1.990.916.667;0.0103;0.0077
1991;0.0497;0.0201
1.991.083.333;0.0326;0.0140
1.991.166.667;0.0268;0.0186
1991.25;0.0193;0.0222
1.991.333.333;0.0141;0.0437
1.991.416.667;0.0245;0.1075
1991.5;0.0276;0.1473
1.991.583.333;0.0358;0.1250
1.991.666.667;0.0435;0.1264
1991.75;0.0340;0.0939
1.991.833.333;0.0367;0.0419
1.991.916.667;0.0224;0.0197
1992;0.0126;0.0101
1.992.083.333;0.0135;0.0110
1.992.166.667;0.0153;0.0242
1992.25;0.0108;0.0260
1.992.333.333;0.0077;0.0318
1.992.416.667;0.0072;0.0915
1992.5;0.0160;0.1582
1.992.583.333;0.0320;0.1609
1.992.666.667;0.0460;0.1360
1992.75;0.0417;0.0731
1.992.833.333;0.0482;0.0298
1.992.916.667;0.0264;0.0162
1993;0.0348;0.0153
1.993.083.333;0.0285;0.0105
1.993.166.667;0.0314;0.0200
1993.25;0.0233;0.0304
1.993.333.333;0.0271;0.0664
1.993.416.667;0.0291;0.1656
1993.5;0.0508;0.2190
1.993.583.333;0.0501;0.1812
1.993.666.667;0.0668;0.1565
1993.75;0.0786;0.1275
1.993.833.333;0.0779;0.0663
1.993.916.667;0.0456;0.0287
1994;0.0227;0.0187
1.994.083.333;0.0270;0.0194
1.994.166.667;0.0236;0.0299
1994.25;0.0156;0.0407
1.994.333.333;0.0247;0.1161
1.994.416.667;0.0274;0.2305
1994.5;0.0453;0.2089
1.994.583.333;0.0496;0.1177
1.994.666.667;0.0310;0.0638
1994.75;0.0263;0.0370
1.994.833.333;0.0195;0.0199
1.994.916.667;0.0220;0.0132
1995;0.0153;0.0118
1.995.083.333;0.0185;0.0114
1.995.166.667;0.0126;0.0197
1995.25;0.0104;0.0293
1.995.333.333;0.0151;0.0769
1.995.416.667;0.0147;0.1750
1995.5;0.0224;0.2403
1.995.583.333;0.0467;0.2476
1.995.666.667;0.0549;0.1637
1995.75;0.0400;0.0754
1.995.833.333;0.0284;0.0312
1.995.916.667;0.0190;0.0118
1996;0.0147;0.0083
1.996.083.333;0.0124;0.0078
1.996.166.667;0.0141;0.0120
1996.25;0.0091;0.0176
1.996.333.333;0.0131;0.0591
1.996.416.667;0.0356;0.1161
1996.5;0.0286;0.1203
1.996.583.333;0.0415;0.0901
1.996.666.667;0.0424;0.0613
1996.75;0.0466;0.0443
1.996.833.333;0.0546;0.0323
1.996.916.667;0.0419;0.0176